"Reference","Value","Datasheet","Footprint","Qty","DNP","Manufacturer Part Number"
"C1,C2","100n","~","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","2","","CL10B104KB85PND"
"C3,C4","2.2u","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","2","","885382208016"
"F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16","Fuse","~","Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","16","","0466.250NR "
"J1,J2","Conn_02x08_Counter_Clockwise","~","BMS-Mux-footprints:Molex_Micro-Fit_3.0_43045-1600_2x08_P3.00mm_Horizontal","2","","43045-1600 "
"J3","Conn_02x09_Top_Bottom","~","BMS-Mux-footprints:Molex_Micro-Fit_3.0_43045-1800_2x09_P3.00mm_Horizontal","1","","43045-1800 "
"J4","Conn_01x18","~","Connector_Wago:Wago_734-148_1x18_P3.50mm_Vertical","1","","1945151 (x2)"
"J5","Conn_01x02","~","BMS-Mux-footprints:Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal","1","","43650-0200"
"J6","Conn_02x10_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical","1","","PH2-20-UA"
"Q1,Q2","BSS123","http://www.diodes.com/assets/Datasheets/ds30366.pdf","Package_TO_SOT_SMD:SOT-23","2","","BSS123L"
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16","680R","~","Resistor_SMD:R_0805_2012Metric","16","","ERA-6AEB681V"
"R17,R18","16k","~","Resistor_SMD:R_0805_2012Metric","2","","ERA-6AEB163V"
"U1,U2","74CBTLV3257","http://www.ti.com/lit/ds/symlink/sn74cbtlv3257.pdf","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","2","","SN74LV4053ADR"
"U3","TEC2-4812WI","https://www.tracopower.com/products/tec2wi.pdf","Converter_DCDC:Converter_DCDC_TRACO_TMR-xxxx_THT","1","","TEC2-4812WI"
"U4","TEC2-4810WI","https://www.tracopower.com/products/tec2wi.pdf","Converter_DCDC:Converter_DCDC_TRACO_TMR-xxxx_THT","1","","TEC2-4810WI"
